,feature,source
534,baseball,Occupation_42
535,god,Occupation_43
536,waiter,Occupation_44
537,prince,Occupation_45
538,colt,Occupation_46
539,gelding,Occupation_47
540,gentlemen,Occupation_48
541,boyhood,Occupation_49
542,architect,Occupation_50
543,priest,Occupation_51
544,beard,Occupation_52
545,grandsons,Occupation_53
546,buddies,Occupation_54
547,dudes,Occupation_55
548,uncles,Occupation_56
549,congressman,Occupation_57
550,conservatism,Occupation_58
551,bastard,Occupation_59
552,yours,Occupation_60
553,pants,Occupation_61
554,dads,Occupation_62
555,surgeon,Occupation_63
556,magnate,Occupation_64
557,manly,Occupation_65
558,flashy,Occupation_66
559,actors,Occupation_67
560,physician,Occupation_68
561,pizzas,Occupation_69
562,burly,Occupation_70
563,fella,Occupation_71
564,blokes,Occupation_72
565,magnificent,Occupation_73
566,countryman,Occupation_74
567,terrific,Occupation_75
568,prostate,Occupation_76
569,youngster,Occupation_77
570,Brett,Occupation_78
571,guys,Occupation_79
572,carpentry,Occupation_80
573,guy,Occupation_81
574,turban,Occupation_82
575,elder_brother,Occupation_83
576,affable,Occupation_84
577,snappy,Occupation_85
578,pharmaceuticals,Occupation_86
579,testosterone,Occupation_87
580,briefcase,Occupation_88
581,shopkeeper,Occupation_89
582,colts,Occupation_90
583,nephews,Occupation_91
584,coward,Occupation_92
585,pal,Occupation_93
586,barbershop,Occupation_94
587,Leroy,Occupation_95
588,penis,Occupation_96
589,lymphoma,Occupation_97
590,guitarist,Occupation_98
591,him,Occupation_99
592,youngsters,Occupation_100
593,goofy,Occupation_101
594,grinning,Occupation_102
595,jovial,Occupation_103
596,brilliant,Occupation_104
597,chuckle,Occupation_105
598,trousers,Occupation_106
599,tuxedo,Occupation_107
600,frontman,Occupation_108
601,rugby,Occupation_109
602,playmaker,Occupation_110
603,trumpeter,Occupation_111
604,shirtless,Occupation_112
605,majestic,Occupation_113
606,mild_mannered,Occupation_114
607,socialists,Occupation_115
608,chauffeur,Occupation_116
609,males,Occupation_117
610,orthopedic_surgeon,Occupation_118
611,youths,Occupation_119
612,red,Occupation_120
613,monastery,Occupation_121
614,doctor,Occupation_122
615,liberal,Occupation_123
616,blazer,Occupation_124
617,blond,Occupation_125
618,stepson,Occupation_126
619,great,Occupation_127
620,genitals,Occupation_128
621,crisp,Occupation_129
622,arrogant,Occupation_130
623,shorts,Occupation_131
624,bearded,Occupation_132
625,spokesmen,Occupation_133
626,male,Occupation_134
627,grandeur,Occupation_135
628,salesman,Occupation_136
629,demon,Occupation_137
630,counterparts,Occupation_138
631,virtuoso,Occupation_139
632,durability,Occupation_140
633,ass,Occupation_141
634,replicas,Occupation_142
635,wives,Occupation_143
636,mustache,Occupation_144
637,racism,Occupation_145
638,colonoscopy,Occupation_146
639,jersey,Occupation_147
640,comical,Occupation_148
641,intestine,Occupation_149
642,improvise,Occupation_150
643,teammates,Occupation_151
644,bicycle,Occupation_152
645,broadcaster,Occupation_153
646,buddy,Occupation_154
647,shirts,Occupation_155
648,alcoholism,Occupation_156
649,humility,Occupation_157
650,clever,Occupation_158
651,grinned,Occupation_159
652,roasting,Occupation_160
653,jerseys,Occupation_161
654,drafting,Occupation_162
655,monk,Occupation_163
656,homosexual,Occupation_164
657,headmaster,Occupation_165
658,fearsome,Occupation_166
659,midfielders,Occupation_167
660,teammate,Occupation_168
661,players,Occupation_169
662,maestro,Occupation_170
663,friends,Occupation_171
664,lad,Occupation_172
665,chuckles,Occupation_173
666,racial,Occupation_174
667,pizzeria,Occupation_175
668,starter,Occupation_176
669,aficionados,Occupation_177
670,menswear,Occupation_178
671,neutered,Occupation_179
672,rubber,Occupation_180
673,garb,Occupation_181
674,intriguing,Occupation_182
675,sausages,Occupation_183
676,surgery,Occupation_184
677,stallion,Occupation_185
678,nerdy,Occupation_186
679,superb,Occupation_187
680,lions,Occupation_188
681,morale,Occupation_189
682,skipper,Occupation_190
683,gambling,Occupation_191
684,hockey,Occupation_192
685,eldest_son,Occupation_193
686,sportswear,Occupation_194
687,youth,Occupation_195
688,weightlifting,Occupation_196
689,cartilage,Occupation_197
690,splendid,Occupation_198
691,winger,Occupation_199
692,carpenter,Occupation_200
693,downfield,Occupation_201
694,rookies,Occupation_202
695,guitarists,Occupation_203
696,playmakers,Occupation_204
697,shook_hands,Occupation_205
698,racist,Occupation_206
699,pizza,Occupation_207
700,mellow,Occupation_208
701,polymer,Occupation_209
702,athletes,Occupation_210
703,flags,Occupation_211
704,electrifying,Occupation_212
705,athlete,Occupation_213
706,chuckled,Occupation_214
707,brooding,Occupation_215
708,pigeons,Occupation_216
709,stents,Occupation_217
710,wolves,Occupation_218
711,cousin,Occupation_219
712,amiable,Occupation_220
713,veterans,Occupation_221
714,facial_hair,Occupation_222
715,pounder,Occupation_223
716,doctors,Occupation_224
717,managing_director,Occupation_225
718,yard_dash,Occupation_226
719,boo,Occupation_227
720,retro,Occupation_228
721,mad,Occupation_229
722,louder,Occupation_230
723,multiple_myeloma,Occupation_231
724,cocky,Occupation_232
725,pals,Occupation_233
726,quipped,Occupation_234
727,footwork,Occupation_235
728,cloak,Occupation_236
729,socks,Occupation_237
730,robes,Occupation_238
731,architects,Occupation_239
732,defensively,Occupation_240
733,unbelievable,Occupation_241
734,genius,Occupation_242
735,moody,Occupation_243
736,camp,Occupation_244
737,Todd,Occupation_245
738,heck,Occupation_246
739,gut_feeling,Occupation_247
740,addiction,Occupation_248
741,swingman,Occupation_249
742,bartender,Occupation_250
743,aggravated_assault,Occupation_251
744,macho,Occupation_252
745,philosopher,Occupation_253
746,yarder,Occupation_254
747,ex_girlfriend,Occupation_255
748,obviously,Occupation_256
749,rehabilitate,Occupation_257
750,engineered,Occupation_258
751,thoroughbred,Occupation_259
752,leather,Occupation_260
753,lefthander,Occupation_261
754,burger,Occupation_262
755,humbling,Occupation_263
756,flick,Occupation_264
757,eleven,Occupation_265
758,pilots,Occupation_266
759,donut,Occupation_267
760,confetti,Occupation_268
761,smiled,Occupation_269
762,powerplay,Occupation_270
763,autobiography,Occupation_271
764,cigar,Occupation_272
765,dogfighting,Occupation_273
766,daddy,Occupation_274
767,uniforms,Occupation_275
768,groom,Occupation_276
769,speedster,Occupation_277
770,stepfather,Occupation_278
771,musician,Occupation_279
772,businessmen,Occupation_280
773,alumnus,Occupation_281
774,enthusiast,Occupation_282
775,superstars,Occupation_283
776,shaking_hands,Occupation_284
777,tryout,Occupation_285
778,straightaway,Occupation_286
779,gestation,Occupation_287
780,curator,Occupation_288
781,videogames,Occupation_289
782,dejected,Occupation_290
783,pancreatic_cancer,Occupation_291
784,playoffs,Occupation_292
785,Laurie,Occupation_293
786,teenager,Occupation_294
787,colleagues,Occupation_295
788,lieutenants,Occupation_296
789,accountant,Occupation_297
790,frustrating,Occupation_298
791,saxophonist,Occupation_299
792,hapless,Occupation_300
793,builder,Occupation_301
794,beers,Occupation_302
795,lockers,Occupation_303
796,game,Occupation_304
797,backside,Occupation_305
798,fitness,Occupation_306
799,skied,Occupation_307
800,eccentric,Occupation_308
801,manager,Occupation_309
802,memorabilia,Occupation_310
803,drummers,Occupation_311
804,touchdown_pass,Occupation_312
805,comic_books,Occupation_313
806,disappointed,Occupation_314
807,motivating,Occupation_315
808,menacing,Occupation_316
809,frustrations,Occupation_317
810,leadoff_hitter,Occupation_318
811,revered,Occupation_319
812,drills,Occupation_320
813,evaded,Occupation_321
814,collectibles,Occupation_322
815,composer,Occupation_323
816,intimated,Occupation_324
817,neurosurgeon,Occupation_325
818,competitiveness,Occupation_326
819,janitor,Occupation_327
820,inflammation,Occupation_328
821,drummer,Occupation_329
822,jacket,Occupation_330
823,rock_n_roll,Occupation_331
824,player,Occupation_332
825,minimalist,Occupation_333
826,spinal_cord_injury,Occupation_334
827,woeful,Occupation_335
828,homophobic,Occupation_336
829,inner_circle,Occupation_337
830,luxurious,Occupation_338
831,professor_emeritus,Occupation_339
832,homosexuality,Occupation_340
833,rejoin,Occupation_341
834,selfless,Occupation_342
835,redshirt_freshman,Occupation_343
836,slumping,Occupation_344
837,statement,Occupation_345
838,drug_trafficking,Occupation_346
839,villain,Occupation_347
840,neurologist,Occupation_348
841,servants,Occupation_349
842,ya,Occupation_350
843,brilliantly,Occupation_351
844,retail_outlets,Occupation_352
845,metabolism,Occupation_353
846,bulldog,Occupation_354
847,pinch_hitter,Occupation_355
848,tendencies,Occupation_356
849,displeased,Occupation_357
850,form,Occupation_358
851,organization,Occupation_359
852,statins,Occupation_360
853,enigmatic,Occupation_361
854,obstetrics,Occupation_362
855,mentor,Occupation_363
856,foreman,Occupation_364
857,depression,Occupation_365
858,beasts,Occupation_366
859,rodent,Occupation_367
860,mentality,Occupation_368
861,famine,Occupation_369
862,magical,Occupation_370
863,rumor_mill,Occupation_371
864,concedes,Occupation_372
865,supporters,Occupation_373
866,ornamental,Occupation_374
867,games,Occupation_375
868,acquiring,Occupation_376
869,compatriot,Occupation_377
870,wallet,Occupation_378
871,physicians,Occupation_379
872,championship,Occupation_380
873,recharge,Occupation_381
874,ineffective,Occupation_382
875,finest,Occupation_383
876,wearing_helmet,Occupation_384
877,improvisation,Occupation_385
878,fellows,Occupation_386
879,added,Occupation_387
880,guitar,Occupation_388
881,comfortable,Occupation_389
882,heart_disease,Occupation_390
883,disciples,Occupation_391
884,chants,Occupation_392
885,tinkering,Occupation_393
886,underperform,Occupation_394
887,approach,Occupation_395
888,props,Occupation_396
889,curve,Occupation_397
890,bouncer,Occupation_398
891,mesmerizing,Occupation_399
892,trombone,Occupation_400
893,visionary,Occupation_401
894,alright,Occupation_402
895,unorthodox,Occupation_403
896,atrial_fibrillation,Occupation_404
897,roar,Occupation_405
898,incumbent,Occupation_406
899,offensive_lineman,Occupation_407
900,potato,Occupation_408
901,tackles,Occupation_409
902,crutches,Occupation_410
903,grill,Occupation_411
904,meeting,Occupation_412
905,style,Occupation_413
906,mentally,Occupation_414
907,legendary,Occupation_415
908,sperm,Occupation_416
909,pickup,Occupation_417
910,accusers,Occupation_418
911,yarn,Occupation_419
912,craftsmen,Occupation_420
913,scooters,Occupation_421
914,workload,Occupation_422
915,grin,Occupation_423
916,useful,Occupation_424
917,caretaker,Occupation_425
918,bloke,Occupation_426
919,incendiary,Occupation_427
920,x_ray,Occupation_428
921,flamboyant,Occupation_429
922,adviser,Occupation_430
923,loan,Occupation_431
924,sharpness,Occupation_432
925,manpower,Occupation_433
926,frustrated,Occupation_434
927,seamer,Occupation_435
928,monkey,Occupation_436
929,allegiance,Occupation_437
930,critics,Occupation_438
931,weddings,Occupation_439
932,cigars,Occupation_440
933,entertainer,Occupation_441
934,rapport,Occupation_442
935,mindset,Occupation_443
936,wants,Occupation_444
937,bullish,Occupation_445
938,deadline,Occupation_446
939,detractors,Occupation_447
940,ballclub,Occupation_448
941,locomotive,Occupation_449
942,fullback,Occupation_450
943,exhibition,Occupation_451
944,slump,Occupation_452
945,pundits,Occupation_453
946,southpaw,Occupation_454
947,dangerous,Occupation_455
948,championships,Occupation_456
949,expires,Occupation_457
950,hard_nosed,Occupation_458
951,yeah,Occupation_459
952,colors,Occupation_460
953,throwback,Occupation_461
954,tunnel,Occupation_462
955,confident,Occupation_463
956,destroyer,Occupation_464
957,resignation,Occupation_465
958,reiterated,Occupation_466
959,ejection,Occupation_467
960,sheet,Occupation_468
961,revamp,Occupation_469
962,treasurer,Occupation_470
963,foolish,Occupation_471
964,honorable,Occupation_472
965,superbly,Occupation_473
966,foodstuffs,Occupation_474
967,robber,Occupation_475
968,economics_professor,Occupation_476
969,restructure,Occupation_477
970,specifics,Occupation_478
971,healthy,Occupation_479
972,dazzling,Occupation_480
973,swagger,Occupation_481
974,sausage,Occupation_482
975,recovered_fumble,Occupation_483
976,doubters,Occupation_484
977,embryonic,Occupation_485
978,pedophile,Occupation_486
979,growth_hormone,Occupation_487
980,recklessness,Occupation_488
981,intangibles,Occupation_489
982,succinct,Occupation_490
983,shouted,Occupation_491
984,devious,Occupation_492
985,replay,Occupation_493
